run	arm	rep	tick	abs_tick	id	species	caste	x	y	z	ref6	layer	countdown	vanish	flag_src	flag_nf	dead	inactive	civ	tame	wild
20260917-081847	natural	1	19213	2035213	194	RHINOCEROS	FEMALE	189	126	95	13,28,-1,-1,-1,241	surface	27278	0	1	1	0	0	-1	0	1
20260917-081847	natural	1	19213	2035213	195	RHINOCEROS	FEMALE	189	122	95	13,28,-1,-1,-1,241	surface	22891	0	1	1	0	0	-1	0	1
20260917-081847	natural	1	19213	2035213	196	RHINOCEROS	MALE	188	123	95	13,28,-1,-1,-1,241	surface	24685	0	1	1	0	0	-1	0	1
20260917-081847	natural	1	19213	2035213	197	RHINOCEROS	MALE	191	126	95	13,28,-1,-1,-1,241	surface	19897	0	1	1	0	0	-1	0	1
20260917-081847	natural	1	19213	2035213	198	RHINOCEROS	MALE	190	126	95	13,28,-1,-1,-1,241	surface	25046	0	1	1	0	0	-1	0	1
20260917-081847	natural	1	19213	2035213	199	MAGMA_CRAB	FEMALE	191	60	38	13,27,-1,32,-1,0	cavern	26907	0	1	0	0	0	-1	0	1
20260917-081847	natural	1	19213	2035213	200	MAGMA_CRAB	MALE	191	61	38	13,27,-1,32,-1,0	cavern	25146	0	1	0	0	0	-1	0	1
20260917-081847	natural	1	19213	2035213	201	MAGMA_CRAB	MALE	191	60	38	13,27,-1,32,-1,0	cavern	27506	0	1	0	0	1	-1	0	1
20260917-081847	natural	1	19686	2035686	162	FISH_STINGRAY	MALE	154	107	94	13,28,0,-1,-1,6	feature	26231	0	1	0	0	0	-1	0	1
20260917-081847	natural	1	19686	2035686	163	ALLIGATOR	FEMALE	140	90	95	13,28,0,-1,-1,4	feature	19733	0	1	0	0	0	-1	0	1
20260917-081847	natural	1	19686	2035686	164	ALLIGATOR	MALE	139	87	95	13,28,0,-1,-1,4	feature	22623	0	1	0	0	0	-1	0	1
20260917-081847	natural	1	19686	2035686	165	HIPPO	FEMALE	161	125	95	13,28,0,-1,-1,5	feature	23983	0	1	0	0	0	-1	0	1
20260917-081847	natural	1	19686	2035686	166	HIPPO	FEMALE	155	111	95	13,28,0,-1,-1,5	feature	18393	0	1	0	0	0	-1	0	1
20260917-081847	natural	1	19686	2035686	167	HIPPO	MALE	152	109	94	13,28,0,-1,-1,5	feature	23744	0	1	0	0	0	-1	0	1
20260917-081847	natural	1	19686	2035686	168	HIPPO	FEMALE	180	115	95	13,28,0,-1,-1,5	feature	24208	0	1	0	0	0	-1	0	1
20260917-081847	natural	1	19686	2035686	178	WEASEL	FEMALE	181	161	94	13,28,-1,-1,-1,170	surface	23914	0	0	0	0	0	-1	0	1
20260917-081847	natural	1	19686	2035686	179	BIRD_SWALLOW_CAVE_GIANT	FEMALE	156	179	82	12,28,-1,2,-1,18	cavern	21257	0	1	0	0	0	-1	0	1
20260917-081847	natural	1	19686	2035686	180	BIRD_OSPREY	MALE	105	18	107	12,27,-1,-1,-1,6	surface	17317	0	0	0	0	0	-1	0	1
20260917-081847	natural	1	19686	2035686	181	BIRD_OSPREY	MALE	125	37	101	12,27,-1,-1,-1,6	surface	23513	0	0	0	0	0	-1	0	1
20260917-081847	natural	1	19686	2035686	182	DEMON_14	DEFAULT	70	22	6	12,28,-1,41,-1,1	cavern	25351	0	1	0	0	0	-1	0	1
20260917-081847	natural	1	19686	2035686	183	DEMON_14	DEFAULT	51	73	4	12,28,-1,41,-1,1	cavern	21327	0	1	0	0	0	-1	0	1
20260917-081847	natural	1	19686	2035686	184	DEMON_14	DEFAULT	46	31	7	12,28,-1,41,-1,1	cavern	24704	0	1	0	0	0	-1	0	1
20260917-081847	natural	1	19686	2035686	185	DEMON_14	DEFAULT	93	11	5	12,28,-1,41,-1,1	cavern	22523	0	1	0	0	0	-1	0	1
20260917-081847	natural	1	19686	2035686	186	DEMON_14	DEFAULT	95	11	5	12,28,-1,41,-1,1	cavern	21576	0	1	0	0	0	-1	0	1
20260917-081847	natural	1	19686	2035686	187	CAVE_BLOB	DEFAULT	174	42	56	13,27,-1,22,-1,11	cavern	17853	0	1	0	0	0	-1	0	1
20260917-081847	natural	1	19686	2035686	188	CAVE_BLOB	DEFAULT	178	47	56	13,27,-1,22,-1,11	cavern	20539	0	1	0	0	0	-1	0	1
20260917-081847	natural	1	19686	2035686	189	GORLAK	FEMALE	86	165	82	12,28,-1,2,-1,27	cavern	24189	0	1	0	0	0	-1	0	1
20260917-081847	natural	1	19686	2035686	190	MANERA	FEMALE	28	2	77	12,27,-1,14,-1,12	cavern	24023	0	1	0	0	0	-1	0	1
20260917-081847	natural	1	19686	2035686	191	REACHER	FEMALE	166	1	77	12,28,-1,14,-1,14	cavern	17932	0	1	0	0	0	-1	0	1
20260917-081847	natural	1	19686	2035686	192	RHINOCEROS	MALE	186	143	95	13,28,-1,-1,-1,241	surface	23384	0	1	1	0	0	-1	0	1
20260917-081847	natural	1	19686	2035686	193	RHINOCEROS	MALE	191	138	95	13,28,-1,-1,-1,241	surface	24601	0	1	1	0	0	-1	0	1
20260917-081847	natural	1	19686	2035686	194	RHINOCEROS	FEMALE	189	134	95	13,28,-1,-1,-1,241	surface	26805	0	1	1	0	0	-1	0	1
20260917-081847	natural	1	19686	2035686	195	RHINOCEROS	FEMALE	187	132	95	13,28,-1,-1,-1,241	surface	22418	0	1	1	0	0	-1	0	1
20260917-081847	natural	1	19686	2035686	196	RHINOCEROS	MALE	186	128	95	13,28,-1,-1,-1,241	surface	24212	0	1	1	0	0	-1	0	1
20260917-081847	natural	1	19686	2035686	197	RHINOCEROS	MALE	187	127	95	13,28,-1,-1,-1,241	surface	19424	0	1	1	0	0	-1	0	1
20260917-081847	natural	1	19686	2035686	198	RHINOCEROS	MALE	188	124	95	13,28,-1,-1,-1,241	surface	24573	0	1	1	0	0	-1	0	1
