run	arm	rep	tick	abs_tick	id	species	caste	x	y	z	ref6	layer	countdown	vanish	flag_src	flag_nf	dead	inactive	civ	tame	wild	mother
20260921-233953	held	1	92260	898660	135	MAGMA_CRAB	MALE	163	179	21	29,20,-1,34,-1,0	deep	0	0	1	0	0	0	-1	0	1	-1
20260921-233953	held	1	92260	898660	136	MAGMA_CRAB	FEMALE	36	126	19	29,20,-1,34,-1,0	deep	0	0	1	0	0	0	-1	0	1	-1
20260921-233953	held	1	92260	898660	137	MAGMA_CRAB	MALE	37	126	20	29,20,-1,34,-1,0	deep	0	0	1	0	0	0	-1	0	1	-1
20260921-233953	held	1	92260	898660	138	MAGMA_CRAB	MALE	37	126	20	29,20,-1,34,-1,0	deep	0	0	1	0	0	0	-1	0	1	-1
20260921-233953	held	1	92260	898660	188	TROGLODYTE	MALE	123	11	47	29,20,-1,8,-1,19	cavern	23089	0	1	0	1	1	-1	0	1	-1
20260921-233953	held	1	92260	898660	190	TROGLODYTE	FEMALE	140	22	49	29,20,-1,8,-1,19	cavern	17870	0	1	0	1	1	-1	0	1	-1
20260921-233953	held	1	92260	898660	191	TROGLODYTE	FEMALE	119	17	47	29,20,-1,8,-1,19	cavern	18034	0	1	0	1	1	-1	0	1	-1
20260921-233953	held	1	92260	898660	192	TROGLODYTE	MALE	121	16	47	29,20,-1,8,-1,19	cavern	18007	0	1	0	1	1	-1	0	1	-1
20260921-233953	held	1	92260	898660	194	TROGLODYTE	MALE	119	17	47	29,20,-1,8,-1,19	cavern	14117	0	1	0	1	1	-1	0	1	-1
20260921-233953	held	1	92260	898660	196	GORLAK	MALE	171	94	29	29,20,-1,25,-1,32	cavern	4357	0	1	0	1	1	-1	0	1	-1
20260921-233953	held	1	92260	898660	198	BIRD_RAVEN	MALE	47	69	118	29,20,-1,-1,-1,53	surface	64512	0	1	1	0	0	-1	0	1	-1
20260921-233953	held	1	92260	898660	199	BIRD_RAVEN	MALE	138	6	105	29,20,-1,-1,-1,53	surface	64512	0	1	1	0	0	-1	0	1	-1
20260921-233953	held	1	92260	898660	200	BIRD_RAVEN	MALE	139	6	105	29,20,-1,-1,-1,53	surface	64512	0	1	1	0	0	-1	0	1	-1
20260921-233953	held	1	92260	898660	201	BIRD_RAVEN	FEMALE	146	12	105	29,20,-1,-1,-1,53	surface	64512	0	1	1	0	0	-1	0	1	-1
20260921-233953	held	1	92260	898660	203	BIRD_RAVEN	FEMALE	132	3	105	29,20,-1,-1,-1,53	surface	64512	0	1	1	0	0	-1	0	1	-1
20260921-233953	held	1	92260	898660	204	BIRD_RAVEN	FEMALE	141	14	105	29,20,-1,-1,-1,53	surface	64512	0	1	1	0	0	-1	0	1	-1
20260921-233953	held	1	92260	898660	206	VORACIOUS_CAVE_CRAWLER	FEMALE	67	156	30	29,20,-1,13,-1,20	cavern	0	0	1	0	0	0	-1	0	1	-1
20260921-233953	held	1	92260	898660	207	CREEPING_EYE	DEFAULT	119	98	28	29,20,-1,25,-1,25	cavern	1396	0	1	0	0	0	-1	0	1	-1
20260921-233953	held	1	92260	898660	208	CREEPING_EYE	DEFAULT	158	107	26	29,20,-1,25,-1,25	cavern	236	0	1	0	0	0	-1	0	1	-1
20260921-233953	held	1	92260	898660	209	CREEPING_EYE	DEFAULT	191	36	33	29,20,-1,25,-1,25	cavern	2650	0	1	0	0	0	-1	0	1	-1
20260921-233953	held	1	92260	898660	210	CREEPING_EYE	DEFAULT	168	129	26	29,20,-1,25,-1,25	cavern	5412	0	1	0	0	0	-1	0	1	-1
20260921-233953	held	1	92260	898660	211	CREEPING_EYE	DEFAULT	124	102	28	29,20,-1,25,-1,25	cavern	3579	0	1	0	0	0	-1	0	1	-1
20260921-233953	held	1	92260	898660	212	CREEPING_EYE	DEFAULT	184	80	26	29,20,-1,25,-1,25	cavern	929	0	1	0	0	0	-1	0	1	-1
20260921-233953	held	1	92260	898660	213	CREEPING_EYE	DEFAULT	166	90	27	29,20,-1,25,-1,25	cavern	7992	0	1	0	0	0	-1	0	1	-1
20260921-233953	held	1	92260	898660	214	CREEPING_EYE	DEFAULT	183	149	26	29,20,-1,25,-1,25	cavern	2434	0	1	0	0	0	-1	0	1	-1
20260921-233953	held	1	92260	898660	215	CREEPING_EYE	DEFAULT	154	77	26	29,20,-1,25,-1,25	cavern	3785	0	1	0	0	0	-1	0	1	-1
20260921-233953	held	1	92260	898660	216	CREEPING_EYE	DEFAULT	184	148	26	29,20,-1,25,-1,25	cavern	4045	0	1	0	0	0	-1	0	1	-1
20260921-233953	held	1	92260	898660	217	CREEPING_EYE	DEFAULT	166	57	27	29,20,-1,25,-1,25	cavern	1804	0	1	0	0	0	-1	0	1	-1
20260921-233953	held	1	92260	898660	218	CREEPING_EYE	DEFAULT	182	152	26	29,20,-1,25,-1,25	cavern	683	0	1	0	0	0	-1	0	1	-1
20260921-233953	held	1	92260	898660	219	CREEPING_EYE	DEFAULT	153	111	27	29,20,-1,25,-1,25	cavern	2417	0	1	0	0	0	-1	0	1	-1
20260921-233953	held	1	92260	898660	220	CREEPING_EYE	DEFAULT	155	110	27	29,20,-1,25,-1,25	cavern	7245	0	1	0	0	0	-1	0	1	-1
20260921-233953	held	1	92260	898660	221	DEMON_13	DEFAULT	65	75	8	29,20,-1,43,-1,4	deep	4927	0	1	0	0	0	-1	0	1	-1
20260921-233953	held	1	92260	898660	222	DEMON_13	DEFAULT	20	191	4	29,20,-1,43,-1,4	deep	9773	0	1	0	0	0	-1	0	1	-1
20260921-233953	held	1	92260	898660	223	CROCODILE_CAVE	MALE	53	86	50	29,20,-1,8,-1,10	cavern	4563	0	1	0	0	0	-1	0	1	-1
20260921-233953	held	1	92260	898660	224	CRUNDLE	FEMALE	108	3	31	29,21,-1,13,-1,9	cavern	3553	0	1	0	0	0	-1	0	1	-1
20260921-233953	held	1	92260	898660	225	CRUNDLE	MALE	114	4	30	29,21,-1,13,-1,9	cavern	7738	0	1	0	0	0	-1	0	1	-1
20260921-233953	held	1	92260	898660	226	CRUNDLE	FEMALE	173	95	29	29,21,-1,13,-1,9	cavern	11676	0	1	0	0	0	-1	0	1	-1
20260921-233953	held	1	92260	898660	227	CRUNDLE	MALE	183	109	31	29,21,-1,13,-1,9	cavern	6372	0	1	0	0	0	-1	0	1	-1
20260921-233953	held	1	92260	898660	228	CRUNDLE	FEMALE	185	104	30	29,21,-1,13,-1,9	cavern	9579	0	1	0	0	0	-1	0	1	-1
20260921-233953	held	1	92260	898660	229	CRUNDLE	MALE	110	58	30	29,21,-1,13,-1,9	cavern	8654	0	1	0	0	0	-1	0	1	-1
20260921-233953	held	1	92260	898660	230	CRUNDLE	FEMALE	119	48	29	29,21,-1,13,-1,9	cavern	7896	0	1	0	0	0	-1	0	1	-1
20260921-233953	held	1	92260	898660	231	CRUNDLE	FEMALE	129	12	29	29,21,-1,13,-1,9	cavern	5212	0	1	0	0	0	-1	0	1	-1
20260921-233953	held	1	92260	898660	232	CRUNDLE	MALE	125	11	29	29,21,-1,13,-1,9	cavern	7966	0	1	0	0	0	-1	0	1	-1
20260921-233953	held	1	92260	898660	233	CRUNDLE	FEMALE	118	114	29	29,21,-1,13,-1,9	cavern	6511	0	1	0	0	0	-1	0	1	-1
20260921-233953	held	1	92260	898660	234	CRUNDLE	FEMALE	132	107	29	29,21,-1,13,-1,9	cavern	7414	0	1	0	0	0	-1	0	1	-1
20260921-233953	held	1	92260	898660	235	CRUNDLE	MALE	191	116	31	29,21,-1,13,-1,9	cavern	6433	0	1	0	0	0	-1	0	1	-1
20260921-233953	held	1	92260	898660	236	CRUNDLE	MALE	185	112	31	29,21,-1,13,-1,9	cavern	5698	0	1	0	0	0	-1	0	1	-1
20260921-233953	held	1	92260	898660	237	CRUNDLE	FEMALE	111	173	29	29,21,-1,13,-1,9	cavern	10639	0	1	0	0	0	-1	0	1	-1
20260921-233953	held	1	92260	898660	238	CRUNDLE	MALE	115	186	29	29,21,-1,13,-1,9	cavern	13377	0	1	0	0	0	-1	0	1	-1
20260921-233953	held	1	92260	898660	239	OLM_GIANT	FEMALE	169	49	38	29,20,-1,8,-1,9	cavern	16166	0	1	0	0	0	-1	0	1	-1
20260921-233953	held	1	93300	899700	134	MAGMA_CRAB	FEMALE	165	158	22	29,20,-1,34,-1,0	deep	0	0	1	0	0	0	-1	0	1	-1
20260921-233953	held	1	93300	899700	135	MAGMA_CRAB	MALE	160	163	22	29,20,-1,34,-1,0	deep	0	0	1	0	0	0	-1	0	1	-1
20260921-233953	held	1	93300	899700	136	MAGMA_CRAB	FEMALE	36	126	19	29,20,-1,34,-1,0	deep	0	0	1	0	0	0	-1	0	1	-1
20260921-233953	held	1	93300	899700	137	MAGMA_CRAB	MALE	37	126	20	29,20,-1,34,-1,0	deep	0	0	1	0	0	0	-1	0	1	-1
20260921-233953	held	1	93300	899700	138	MAGMA_CRAB	MALE	37	126	20	29,20,-1,34,-1,0	deep	0	0	1	0	0	0	-1	0	1	-1
