run	arm	rep	tick	abs_tick	idx	species	type	layer	ref6	quantity	quantity_max	discovered	extinct	already_removed	need_offload
20260917-194051	caravan_depot_lever	1	31382	837782	3718	GREMLIN	Animal	cavern	28,21,-1,25,-1,22	1	1	0	0	0	0
20260917-194051	caravan_depot_lever	1	31382	837782	3720	SPIDER_CAVE_GIANT	Animal	cavern	28,21,-1,25,-1,24	2	2	0	0	0	0
20260917-194051	caravan_depot_lever	1	31382	837782	3721	CREEPING_EYE	Animal	cavern	28,21,-1,25,-1,25	297	297	0	0	0	0
20260917-194051	caravan_depot_lever	1	31382	837782	3722	BLIND_CAVE_OGRE	Animal	cavern	28,21,-1,25,-1,26	6	6	0	0	0	0
20260917-194051	caravan_depot_lever	1	31382	837782	3723	TROLL	Animal	cavern	28,21,-1,25,-1,27	7	7	0	0	0	0
20260917-194051	caravan_depot_lever	1	31382	837782	3724	REACHER	Animal	cavern	28,21,-1,25,-1,28	12	12	0	0	0	0
20260917-194051	caravan_depot_lever	1	31382	837782	3725	CAVE_DRAGON	Animal	cavern	28,21,-1,25,-1,29	4	4	0	0	0	0
20260917-194051	caravan_depot_lever	1	31382	837782	3726	BLOOD_MAN	Animal	cavern	28,21,-1,25,-1,30	20	20	0	0	0	0
20260917-194051	caravan_depot_lever	1	31382	837782	3728	GORLAK	Animal	cavern	28,21,-1,25,-1,32	17	17	0	0	0	0
20260917-194051	caravan_depot_lever	1	31382	837782	3729	MAGMA_CRAB	Animal	cavern	28,21,-1,34,-1,0	39	39	0	0	0	0
20260917-194051	caravan_depot_lever	1	31382	837782	3730	IMP_FIRE	Animal	cavern	28,21,-1,34,-1,1	28	28	0	0	0	0
20260917-194051	caravan_depot_lever	1	31382	837782	3731	ELEMENTMAN_FIRE	Animal	cavern	28,21,-1,34,-1,2	20	20	0	0	0	0
20260917-194051	caravan_depot_lever	1	31382	837782	3732	ELEMENTMAN_MAGMA	Animal	cavern	28,21,-1,34,-1,3	28	28	0	0	0	0
20260917-194051	caravan_depot_lever	1	31382	837782	3734	DEMON_19	Animal	cavern	28,21,-1,44,-1,0	10000001	10000001	0	0	0	0
20260917-194051	caravan_depot_lever	1	31382	837782	3735	DEMON_2	Animal	cavern	28,21,-1,44,-1,1	10000001	10000001	0	0	0	0
20260917-194051	caravan_depot_lever	1	31382	837782	3736	DEMON_4	Animal	cavern	28,21,-1,44,-1,2	10000001	10000001	0	0	0	0
20260917-194051	caravan_depot_lever	1	31382	837782	3737	DEMON_1	Animal	cavern	28,21,-1,44,-1,3	10000001	10000001	0	0	0	0
20260917-194051	caravan_depot_lever	1	31382	837782	3738	DEMON_12	Animal	cavern	28,21,-1,44,-1,4	10000001	10000001	0	0	0	0
20260917-194051	caravan_depot_lever	1	31382	837782	3739	DEMON_3	Animal	cavern	28,21,-1,44,-1,5	10000001	10000001	0	0	0	0
20260917-194051	caravan_depot_lever	1	31382	837782	3740	DEMON_15	Animal	cavern	28,21,-1,44,-1,6	10000001	10000001	0	0	0	0
20260917-194051	caravan_depot_lever	1	31382	837782	4515	BIRD_RAVEN	Animal	surface	29,19,-1,-1,-1,53	0	341	0	1	0	0
20260917-194051	caravan_depot_lever	1	31382	837782	4516	BIRD_KAKAPO	Animal	surface	29,19,-1,-1,-1,55	0	16	0	1	0	0
20260917-194051	caravan_depot_lever	1	31382	837782	4517	BIRD_EMU	Animal	surface	29,19,-1,-1,-1,56	0	11	0	1	0	0
20260917-194051	caravan_depot_lever	1	31382	837782	4520	BIRD_KESTREL	Animal	surface	29,19,-1,-1,-1,60	0	23	0	1	0	0
20260917-194051	caravan_depot_lever	1	31382	837782	4521	BIRD_OWL_GREAT_HORNED	Animal	surface	29,19,-1,-1,-1,61	0	15	0	1	0	0
20260917-194051	caravan_depot_lever	1	31382	837782	4533	COUGAR	Animal	surface	29,19,-1,-1,-1,79	30	2	0	0	0	0
20260917-194051	caravan_depot_lever	1	31382	837782	4534	GROUNDHOG	Animal	surface	29,19,-1,-1,-1,80	0	20	0	1	0	0
20260917-194051	caravan_depot_lever	1	31382	837782	4535	BADGER	Animal	surface	29,19,-1,-1,-1,82	0	16	0	1	0	0
20260917-194051	caravan_depot_lever	1	31382	837782	4538	KANGAROO	Animal	surface	29,19,-1,-1,-1,88	0	20	0	1	0	0
20260917-194051	caravan_depot_lever	1	31382	837782	4539	PORCUPINE	Animal	surface	29,19,-1,-1,-1,90	0	24	0	1	0	0
20260917-194051	caravan_depot_lever	1	31382	837782	4540	SKUNK	Animal	surface	29,19,-1,-1,-1,92	0	15	0	1	0	0
20260917-194051	caravan_depot_lever	1	31382	837782	4541	WOMBAT	Animal	surface	29,19,-1,-1,-1,96	0	14	0	1	0	0
20260917-194051	caravan_depot_lever	1	31382	837782	4544	DINGO	Animal	surface	29,19,-1,-1,-1,100	30	13	0	0	0	0
20260917-194051	caravan_depot_lever	1	31382	837782	4545	WOLF	Animal	surface	29,19,-1,-1,-1,101	30	12	0	0	0	0
20260917-194051	caravan_depot_lever	1	31382	837782	4556	OLM_GIANT	Animal	cavern	29,19,-1,8,-1,9	17	17	0	0	0	0
20260917-194051	caravan_depot_lever	1	31382	837782	4557	CROCODILE_CAVE	Animal	cavern	29,19,-1,8,-1,10	9	9	0	0	0	0
20260917-194051	caravan_depot_lever	1	31382	837782	4558	POND_GRABBER	Animal	cavern	29,19,-1,8,-1,11	14	14	0	0	0	0
20260917-194051	caravan_depot_lever	1	31382	837782	4559	TOAD_GIANT_CAVE	Animal	cavern	29,19,-1,8,-1,12	12	12	0	0	0	0
20260917-194051	caravan_depot_lever	1	31382	837782	4565	BIRD_SWALLOW_CAVE_GIANT	Animal	cavern	29,19,-1,8,-1,18	22	22	0	0	0	0
20260917-194051	caravan_depot_lever	1	31382	837782	4566	TROGLODYTE	Animal	cavern	29,19,-1,8,-1,19	14	14	0	0	0	0
20260917-194051	caravan_depot_lever	1	31382	837782	4567	RAT_GIANT	Animal	cavern	29,19,-1,8,-1,20	17	17	0	0	0	0
20260917-194051	caravan_depot_lever	1	31382	837782	4568	ELK_BIRD	Animal	cavern	29,19,-1,8,-1,21	43	43	0	0	0	0
20260917-194051	caravan_depot_lever	1	31382	837782	4569	RAT_LARGE	Animal	cavern	29,19,-1,8,-1,22	16	16	0	0	0	0
20260917-194051	caravan_depot_lever	1	31382	837782	4570	MOLE_DOG_NAKED	Animal	cavern	29,19,-1,8,-1,23	20	20	0	0	0	0
20260917-194051	caravan_depot_lever	1	31382	837782	4571	GIANT_EARTHWORM	Animal	cavern	29,19,-1,8,-1,24	26	26	0	0	0	0
20260917-194051	caravan_depot_lever	1	31382	837782	4574	TROLL	Animal	cavern	29,19,-1,8,-1,27	5	5	0	0	0	0
20260917-194051	caravan_depot_lever	1	31382	837782	4575	GORLAK	Animal	cavern	29,19,-1,8,-1,28	14	14	0	0	0	0
20260917-194051	caravan_depot_lever	1	31382	837782	4585	CRUNDLE	Animal	cavern	29,19,-1,13,-1,9	147	147	0	0	0	0
20260917-194051	caravan_depot_lever	1	31382	837782	4586	TOAD_GIANT_CAVE	Animal	cavern	29,19,-1,13,-1,10	11	11	0	0	0	0
