run	arm	rep	tick	abs_tick	id	species	caste	x	y	z	ref6	layer	countdown	vanish	flag_src	flag_nf	dead	inactive	civ	tame	wild	mother
20260917-202950	ecology_on	1	19042	825442	139	GROUNDHOG	MALE	34	18	104	29,20,-1,-1,-1,80	surface	19695	0	0	0	0	0	-1	0	1	-1
20260917-202950	ecology_on	1	19042	825442	140	GROUNDHOG	FEMALE	31	17	104	29,20,-1,-1,-1,80	surface	24483	0	0	0	0	0	-1	0	1	-1
20260917-202950	ecology_on	1	19042	825442	141	OLM_GIANT	MALE	178	7	47	29,20,-1,8,-1,9	cavern	18701	0	1	0	0	0	-1	0	1	-1
20260917-202950	ecology_on	1	19042	825442	142	CRUNDLE	FEMALE	27	59	30	29,20,-1,13,-1,9	cavern	18998	0	1	0	0	0	-1	0	1	-1
20260917-202950	ecology_on	1	19042	825442	143	CRUNDLE	MALE	24	57	30	29,20,-1,13,-1,9	cavern	25639	0	1	0	0	0	-1	0	1	-1
20260917-202950	ecology_on	1	19042	825442	144	CRUNDLE	FEMALE	20	54	29	29,20,-1,13,-1,9	cavern	21254	0	1	0	0	0	-1	0	1	-1
20260917-202950	ecology_on	1	19042	825442	145	CRUNDLE	FEMALE	17	55	29	29,20,-1,13,-1,9	cavern	27990	0	1	0	0	0	-1	0	1	-1
20260917-202950	ecology_on	1	19042	825442	146	CRUNDLE	FEMALE	18	51	29	29,20,-1,13,-1,9	cavern	25514	0	1	0	0	0	-1	0	1	-1
20260917-202950	ecology_on	1	19042	825442	147	CRUNDLE	MALE	10	43	29	29,20,-1,13,-1,9	cavern	21192	0	1	0	0	0	-1	0	1	-1
20260917-202950	ecology_on	1	19042	825442	148	CRUNDLE	FEMALE	2	7	31	29,20,-1,13,-1,9	cavern	20952	0	1	0	0	0	-1	0	1	-1
20260917-202950	ecology_on	1	19042	825442	149	CRUNDLE	MALE	1	5	31	29,20,-1,13,-1,9	cavern	26489	0	1	0	0	0	-1	0	1	-1
20260917-202950	ecology_on	1	19042	825442	150	CRUNDLE	FEMALE	0	5	31	29,20,-1,13,-1,9	cavern	26497	0	1	0	0	0	-1	0	1	-1
20260917-202950	ecology_on	1	19042	825442	151	CRUNDLE	MALE	15	7	30	29,20,-1,13,-1,9	cavern	22439	0	1	0	0	0	-1	0	1	-1
20260917-202950	ecology_on	1	19042	825442	152	CRUNDLE	FEMALE	22	3	30	29,20,-1,13,-1,9	cavern	28677	0	1	0	0	0	-1	0	1	-1
20260917-202950	ecology_on	1	19042	825442	153	CRUNDLE	FEMALE	27	0	29	29,20,-1,13,-1,9	cavern	26626	0	1	0	0	0	-1	0	1	-1
20260917-202950	ecology_on	1	19042	825442	154	CRUNDLE	MALE	28	0	29	29,20,-1,13,-1,9	cavern	28061	0	1	0	0	0	-1	0	1	-1
20260917-202950	ecology_on	1	19042	825442	155	CRUNDLE	FEMALE	27	0	29	29,20,-1,13,-1,9	cavern	23406	0	1	0	0	1	-1	0	1	-1
20260917-202950	ecology_on	1	19042	825442	156	CRUNDLE	FEMALE	27	0	29	29,20,-1,13,-1,9	cavern	29882	0	1	0	0	1	-1	0	1	-1
20260917-202950	ecology_on	1	19042	825442	157	CRUNDLE	FEMALE	30	0	29	29,20,-1,13,-1,9	cavern	23817	0	1	0	0	1	-1	0	1	-1
20260917-202950	ecology_on	1	19042	825442	158	CRUNDLE	MALE	29	0	29	29,20,-1,13,-1,9	cavern	22407	0	1	0	0	1	-1	0	1	-1
20260917-202950	ecology_on	1	19042	825442	159	CRUNDLE	MALE	28	0	29	29,20,-1,13,-1,9	cavern	25569	0	1	0	0	1	-1	0	1	-1
20260917-202950	ecology_on	1	19042	825442	160	CRUNDLE	FEMALE	29	0	29	29,20,-1,13,-1,9	cavern	21825	0	1	0	0	1	-1	0	1	-1
20260917-202950	ecology_on	1	19042	825442	161	CRUNDLE	FEMALE	26	0	29	29,20,-1,13,-1,9	cavern	24068	0	1	0	0	1	-1	0	1	-1
20260917-202950	ecology_on	1	19042	825442	162	DEMON_16	MALE	47	92	4	29,20,-1,43,-1,3	cavern	25684	0	1	0	0	0	-1	0	1	-1
20260917-202950	ecology_on	1	19042	825442	163	DEMON_16	FEMALE	4	128	7	29,20,-1,43,-1,3	cavern	23779	0	1	0	0	0	-1	0	1	-1
20260917-202950	ecology_on	1	19042	825442	164	BIRD_SWALLOW_CAVE_GIANT	FEMALE	61	23	44	29,20,-1,8,-1,18	cavern	24498	0	1	0	0	0	-1	0	1	-1
20260917-202950	ecology_on	1	19042	825442	165	BADGER	FEMALE	31	106	104	29,20,-1,-1,-1,82	surface	19697	0	0	0	0	0	-1	0	1	-1
20260917-202950	ecology_on	1	19042	825442	166	BADGER	MALE	40	103	104	29,20,-1,-1,-1,82	surface	21859	0	0	0	0	0	-1	0	1	-1
20260917-202950	ecology_on	1	19042	825442	167	BADGER	FEMALE	43	98	104	29,20,-1,-1,-1,82	surface	23605	0	0	0	0	0	-1	0	1	-1
20260917-202950	ecology_on	1	19042	825442	168	BADGER	FEMALE	45	93	104	29,20,-1,-1,-1,82	surface	20529	0	0	0	0	0	-1	0	1	-1
