run	arm	rep	tick	abs_tick	id	species	caste	x	y	z	ref6	layer	countdown	vanish	flag_src	flag_nf	dead	inactive	civ	tame	wild
20260917-080028	aquatic	1	18247	2034247	201	BIRD_SWALLOW_CAVE_GIANT	FEMALE	174	178	61	3,31,-1,2,-1,18	cavern	23180	0	1	0	0	0	-1	0	1
20260917-080028	aquatic	1	18247	2034247	202	DEMON_14	DEFAULT	182	16	1	4,29,-1,38,-1,5	cavern	21965	0	1	0	0	0	-1	0	1
20260917-080028	aquatic	1	18247	2034247	203	DEMON_14	DEFAULT	177	3	3	4,29,-1,38,-1,5	cavern	23571	0	1	0	0	0	-1	0	1
20260917-080028	aquatic	1	18247	2034247	204	DEMON_14	DEFAULT	183	0	1	4,29,-1,38,-1,5	cavern	23108	0	1	0	0	0	-1	0	1
20260917-080028	aquatic	1	18247	2034247	205	CRUNDLE	FEMALE	76	185	36	4,30,-1,11,-1,15	cavern	27057	0	1	0	0	0	-1	0	1
20260917-080028	aquatic	1	18247	2034247	206	CRUNDLE	FEMALE	70	190	36	4,30,-1,11,-1,15	cavern	29218	0	1	0	0	0	-1	0	1
20260917-080028	aquatic	1	18247	2034247	207	CRUNDLE	FEMALE	69	191	36	4,30,-1,11,-1,15	cavern	22666	0	1	0	0	0	-1	0	1
20260917-080028	aquatic	1	18247	2034247	208	CRUNDLE	MALE	69	191	36	4,30,-1,11,-1,15	cavern	25303	0	1	0	0	1	-1	0	1
20260917-080028	aquatic	1	18247	2034247	209	CRUNDLE	FEMALE	67	191	36	4,30,-1,11,-1,15	cavern	29757	0	1	0	0	1	-1	0	1
20260917-080028	aquatic	1	18247	2034247	210	CRUNDLE	FEMALE	70	191	36	4,30,-1,11,-1,15	cavern	21339	0	1	0	0	1	-1	0	1
20260917-080028	aquatic	1	18247	2034247	211	CRUNDLE	MALE	71	191	36	4,30,-1,11,-1,15	cavern	29832	0	1	0	0	1	-1	0	1
20260917-080028	aquatic	1	18247	2034247	212	CRUNDLE	MALE	69	191	36	4,30,-1,11,-1,15	cavern	24221	0	1	0	0	1	-1	0	1
20260917-080028	aquatic	1	18247	2034247	213	CRUNDLE	MALE	70	191	36	4,30,-1,11,-1,15	cavern	24112	0	1	0	0	1	-1	0	1
20260917-080028	aquatic	1	18247	2034247	214	CRUNDLE	FEMALE	69	191	36	4,30,-1,11,-1,15	cavern	25843	0	1	0	0	1	-1	0	1
20260917-080028	aquatic	1	18247	2034247	215	CRUNDLE	FEMALE	71	191	36	4,30,-1,11,-1,15	cavern	27786	0	1	0	0	1	-1	0	1
20260917-080028	aquatic	1	18247	2034247	216	CRUNDLE	MALE	68	191	36	4,30,-1,11,-1,15	cavern	21136	0	1	0	0	1	-1	0	1
20260917-080028	aquatic	1	18247	2034247	217	CRUNDLE	MALE	70	191	36	4,30,-1,11,-1,15	cavern	26464	0	1	0	0	1	-1	0	1
20260917-080028	aquatic	1	18247	2034247	218	CRUNDLE	FEMALE	71	191	36	4,30,-1,11,-1,15	cavern	23489	0	1	0	0	1	-1	0	1
20260917-080028	aquatic	1	18247	2034247	219	CRUNDLE	MALE	66	191	36	4,30,-1,11,-1,15	cavern	27288	0	1	0	0	1	-1	0	1
20260917-080028	aquatic	1	18247	2034247	220	CRUNDLE	MALE	66	191	36	4,30,-1,11,-1,15	cavern	20971	0	1	0	0	1	-1	0	1
20260917-080028	aquatic	1	18247	2034247	221	CRUNDLE	MALE	68	191	36	4,30,-1,11,-1,15	cavern	21733	0	1	0	0	1	-1	0	1
20260917-080028	aquatic	1	18247	2034247	222	CRUNDLE	FEMALE	69	191	36	4,30,-1,11,-1,15	cavern	23762	0	1	0	0	1	-1	0	1
20260917-080028	aquatic	1	18480	2034480	162	TROLL	FEMALE	25	4	45	3,31,-1,2,-1,26	cavern	18644	0	0	0	0	0	-1	0	1
20260917-080028	aquatic	1	18480	2034480	163	MAGMA_CRAB	MALE	32	20	16	4,31,-1,29,-1,0	cavern	21906	0	0	0	0	0	-1	0	1
20260917-080028	aquatic	1	18480	2034480	164	MAGMA_CRAB	MALE	34	15	16	4,31,-1,29,-1,0	cavern	24701	0	0	0	0	0	-1	0	1
20260917-080028	aquatic	1	18480	2034480	165	MAGMA_CRAB	MALE	34	11	16	4,31,-1,29,-1,0	cavern	19205	0	0	0	0	0	-1	0	1
20260917-080028	aquatic	1	18480	2034480	166	DEMON_15	FEMALE	156	39	2	4,30,-1,38,-1,0	cavern	21984	0	0	0	0	0	-1	0	1
20260917-080028	aquatic	1	18480	2034480	167	DEMON_15	MALE	156	40	2	4,30,-1,38,-1,0	cavern	20479	0	0	0	0	0	-1	0	1
20260917-080028	aquatic	1	18480	2034480	168	DEMON_15	FEMALE	152	27	3	4,30,-1,38,-1,0	cavern	23025	0	0	0	0	0	-1	0	1
20260917-080028	aquatic	1	18480	2034480	169	DEMON_15	FEMALE	164	14	3	4,30,-1,38,-1,0	cavern	27579	0	0	0	0	0	-1	0	1
20260917-080028	aquatic	1	18480	2034480	170	JABBERER	MALE	9	153	30	4,31,-1,20,-1,21	cavern	21633	0	0	0	0	0	-1	0	1
20260917-080028	aquatic	1	18480	2034480	181	CROCODILE_CAVE	FEMALE	128	180	53	4,30,-1,2,-1,9	cavern	27575	0	0	0	0	0	-1	0	1
20260917-080028	aquatic	1	18480	2034480	191	BIRD_OSPREY	FEMALE	104	17	98	4,31,-1,-1,-1,52	surface	27680	0	0	0	0	0	-1	0	1
20260917-080028	aquatic	1	18480	2034480	192	REACHER	MALE	28	164	31	3,31,-1,20,-1,27	cavern	22080	0	0	0	0	0	-1	0	1
20260917-080028	aquatic	1	18480	2034480	193	WEASEL	MALE	150	21	91	4,31,-1,-1,-1,51	surface	26506	0	0	0	0	0	-1	0	1
20260917-080028	aquatic	1	18480	2034480	194	OLM_GIANT	FEMALE	184	166	38	4,30,-1,11,-1,12	cavern	26163	0	0	0	0	0	-1	0	1
