run	arm	rep	tick	abs_tick	phase	idx	species	type	layer	ref6	quantity	quantity_max	discovered	extinct	already_removed	need_offload
20260917-173344	river_only	1	16801	2032801	start	277	Vermin:8	Vermin	surface	16,22,-1,-1,-1,81	190	190	0	0	0	0
20260917-173344	river_only	1	16801	2032801	start	278	Vermin:34	Vermin	surface	16,22,-1,-1,-1,88	164	164	0	0	0	0
20260917-173344	river_only	1	16801	2032801	start	279	Vermin:49	Vermin	surface	16,22,-1,-1,-1,89	277	277	0	0	0	0
20260917-173344	river_only	1	16801	2032801	start	280	Vermin:79	Vermin	surface	16,22,-1,-1,-1,94	479	479	0	0	0	0
20260917-173344	river_only	1	16801	2032801	start	281	BIRD_EMU	Animal	surface	16,22,-1,-1,-1,95	8	8	0	0	0	0
20260917-173344	river_only	1	16801	2032801	start	282	Vermin:91	Vermin	surface	16,22,-1,-1,-1,99	181	181	0	0	0	0
20260917-173344	river_only	1	16801	2032801	start	283	BIRD_EAGLE	Animal	surface	16,22,-1,-1,-1,103	24	24	0	0	0	0
20260917-173344	river_only	1	16801	2032801	start	284	Vermin:118	Vermin	surface	16,22,-1,-1,-1,105	365	365	0	0	0	0
20260917-173344	river_only	1	16801	2032801	start	285	Vermin:121	Vermin	surface	16,22,-1,-1,-1,106	482	482	0	0	0	0
20260917-173344	river_only	1	16801	2032801	start	286	Vermin:124	Vermin	surface	16,22,-1,-1,-1,107	413	413	0	0	0	0
20260917-173344	river_only	1	16801	2032801	start	287	Vermin:130	Vermin	surface	16,22,-1,-1,-1,110	44	44	0	0	0	0
20260917-173344	river_only	1	16801	2032801	start	288	VerminInnumerable:133	VerminInnumerable	surface	16,22,-1,-1,-1,112	10000001	10000001	0	0	0	0
20260917-173344	river_only	1	16801	2032801	start	289	VerminInnumerable:136	VerminInnumerable	surface	16,22,-1,-1,-1,113	10000001	10000001	0	0	0	0
20260917-173344	river_only	1	16801	2032801	start	290	VerminInnumerable:139	VerminInnumerable	surface	16,22,-1,-1,-1,115	10000001	10000001	0	0	0	0
20260917-173344	river_only	1	16801	2032801	start	291	VerminInnumerable:142	VerminInnumerable	surface	16,22,-1,-1,-1,116	10000001	10000001	0	0	0	0
20260917-173344	river_only	1	16801	2032801	start	292	Vermin:145	Vermin	surface	16,22,-1,-1,-1,118	4580	4580	0	0	0	0
20260917-173344	river_only	1	16801	2032801	start	293	Vermin:148	Vermin	surface	16,22,-1,-1,-1,119	424	424	0	0	0	0
20260917-173344	river_only	1	16801	2032801	start	294	ColonyInsect:151	ColonyInsect	surface	16,22,-1,-1,-1,121	10000001	10000001	0	0	0	0
20260917-173344	river_only	1	16801	2032801	start	295	BIRD_TURKEY	Animal	surface	16,22,-1,-1,-1,123	7	7	0	0	0	0
20260917-173344	river_only	1	16801	2032801	start	296	Vermin:196	Vermin	surface	16,22,-1,-1,-1,124	3201	3201	0	0	0	0
20260917-173344	river_only	1	16801	2032801	start	297	VerminInnumerable:202	VerminInnumerable	surface	16,22,-1,-1,-1,125	10000001	10000001	0	0	0	0
20260917-173344	river_only	1	16801	2032801	start	298	ColonyInsect:205	ColonyInsect	surface	16,22,-1,-1,-1,127	10000001	10000001	0	0	0	0
20260917-173344	river_only	1	16801	2032801	start	299	Vermin:206	Vermin	surface	16,22,-1,-1,-1,128	379	379	0	0	0	0
20260917-173344	river_only	1	16801	2032801	start	300	ColonyInsect:216	ColonyInsect	surface	16,22,-1,-1,-1,131	10000001	10000001	0	0	0	0
20260917-173344	river_only	1	16801	2032801	start	301	WOLF	Animal	surface	16,22,-1,-1,-1,134	4	4	0	0	0	0
20260917-173344	river_only	1	16801	2032801	start	302	GROUNDHOG	Animal	surface	16,22,-1,-1,-1,135	7	7	0	0	0	0
20260917-173344	river_only	1	16801	2032801	start	303	Vermin:514	Vermin	surface	16,22,-1,-1,-1,150	378	378	0	0	0	0
20260917-173344	river_only	1	16801	2032801	start	304	Vermin:517	Vermin	surface	16,22,-1,-1,-1,151	271	271	0	0	0	0
20260917-173344	river_only	1	16801	2032801	start	305	Vermin:528	Vermin	surface	16,22,-1,-1,-1,153	385	385	0	0	0	0
20260917-173344	river_only	1	16801	2032801	start	306	Vermin:531	Vermin	surface	16,22,-1,-1,-1,155	199	199	0	0	0	0
20260917-173344	river_only	1	16801	2032801	start	307	Vermin:561	Vermin	surface	16,22,-1,-1,-1,158	256	256	0	0	0	0
20260917-173344	river_only	1	16801	2032801	start	308	WILD_BOAR	Animal	surface	16,22,-1,-1,-1,159	19	19	0	0	0	0
20260917-173344	river_only	1	16801	2032801	start	309	KANGAROO	Animal	surface	16,22,-1,-1,-1,160	8	8	0	0	0	0
20260917-173344	river_only	1	16801	2032801	start	310	ADDER	Animal	surface	16,22,-1,-1,-1,161	7	7	0	0	0	0
20260917-173344	river_only	1	16801	2032801	start	311	ECHIDNA	Animal	surface	16,22,-1,-1,-1,162	8	8	0	0	0	0
20260917-173344	river_only	1	16801	2032801	start	312	KINGSNAKE	Animal	surface	16,22,-1,-1,-1,164	6	6	0	0	0	0
20260917-173344	river_only	1	16801	2032801	start	313	SKUNK	Animal	surface	16,22,-1,-1,-1,166	11	11	0	0	0	0
20260917-173344	river_only	1	16801	2032801	start	314	WEASEL	Animal	surface	16,22,-1,-1,-1,170	26	26	0	0	0	0
20260917-173344	river_only	1	16801	2032801	start	315	OPOSSUM	Animal	surface	16,22,-1,-1,-1,174	8	8	0	0	0	0
20260917-173344	river_only	1	16801	2032801	start	316	CRETACEOUS_CARNOTAURUS	Animal	surface	16,22,-1,-1,-1,198	4	4	0	0	0	0
20260917-173344	river_only	1	16801	2032801	start	317	ColonyInsect:215	ColonyInsect	surface	16,22,-1,-1,-1,216	10000001	10000001	0	0	0	0
20260917-173344	river_only	1	16801	2032801	start	318	VerminInnumerable:158	VerminInnumerable	surface	16,22,-1,-1,-1,217	10000001	10000001	0	0	0	0
20260917-173344	river_only	1	16801	2032801	start	319	FISH_TIGERFISH	Animal	feature	16,22,0,-1,-1,0	396	396	0	0	0	0
20260917-173344	river_only	1	16801	2032801	start	320	HIPPO	Animal	feature	16,22,0,-1,-1,1	378	378	0	0	0	0
20260917-173344	river_only	1	16801	2032801	start	321	RIVER OTTER	Animal	feature	16,22,0,-1,-1,2	252	252	0	0	0	0
20260917-173344	river_only	1	16801	2032801	start	322	FISH_STINGRAY	Animal	feature	16,22,0,-1,-1,3	468	468	0	0	0	0
20260917-173344	river_only	1	16801	2032801	start	323	ALLIGATOR	Animal	feature	16,22,0,-1,-1,4	144	144	0	0	0	0
20260917-173344	river_only	1	16801	2032801	start	324	FISH_CARP	Animal	feature	16,22,0,-1,-1,5	432	432	0	0	0	0
20260917-173344	river_only	1	16801	2032801	start	325	FISH_MILKFISH	Animal	feature	16,22,0,-1,-1,6	396	396	0	0	0	0
20260917-173344	river_only	1	16801	2032801	start	326	Vermin:537	Vermin	feature	16,22,0,-1,-1,7	5796	5796	0	0	0	0
20260917-173344	river_only	1	16801	2032801	start	327	Vermin:570	Vermin	feature	16,22,0,-1,-1,8	5418	5418	0	0	0	0
20260917-173344	river_only	1	16801	2032801	start	328	Vermin:566	Vermin	feature	16,22,0,-1,-1,9	7560	7560	0	0	0	0
20260917-173344	river_only	1	16801	2032801	start	329	Vermin:561	Vermin	feature	16,22,0,-1,-1,10	5580	5580	0	0	0	0
20260917-173344	river_only	1	16801	2032801	start	330	Tree:208	Tree	cavern	16,22,-1,2,-1,0	10000001	10000001	0	0	0	0
20260917-173344	river_only	1	16801	2032801	start	331	Tree:204	Tree	cavern	16,22,-1,2,-1,1	10000001	10000001	0	0	0	0
20260917-173344	river_only	1	16801	2032801	start	332	Bush:174	Bush	cavern	16,22,-1,2,-1,2	10000001	10000001	0	0	0	0
20260917-173344	river_only	1	16801	2032801	start	333	Bush:188	Bush	cavern	16,22,-1,2,-1,3	10000001	10000001	0	0	0	0
20260917-173344	river_only	1	16801	2032801	start	334	Bush:176	Bush	cavern	16,22,-1,2,-1,4	10000001	10000001	0	0	0	0
20260917-173344	river_only	1	16801	2032801	start	335	Bush:175	Bush	cavern	16,22,-1,2,-1,5	10000001	10000001	0	0	0	0
20260917-173344	river_only	1	16801	2032801	start	336	Bush:177	Bush	cavern	16,22,-1,2,-1,6	10000001	10000001	0	0	0	0
20260917-173344	river_only	1	16801	2032801	start	337	Grass:127	Grass	cavern	16,22,-1,2,-1,7	10000001	10000001	0	0	0	0
20260917-173344	river_only	1	16801	2032801	start	338	POND_GRABBER	Animal	cavern	16,22,-1,2,-1,8	21	21	0	0	0	0
20260917-173344	river_only	1	16801	2032801	start	339	CROCODILE_CAVE	Animal	cavern	16,22,-1,2,-1,9	11	11	0	0	0	0
20260917-173344	river_only	1	16801	2032801	start	340	OLM_GIANT	Animal	cavern	16,22,-1,2,-1,10	10	10	0	0	0	0
20260917-173344	river_only	1	16801	2032801	start	341	TOAD_GIANT_CAVE	Animal	cavern	16,22,-1,2,-1,11	14	14	0	0	0	0
20260917-173344	river_only	1	16801	2032801	start	342	Vermin:619	Vermin	cavern	16,22,-1,2,-1,12	344	344	0	0	0	0
20260917-173344	river_only	1	16801	2032801	start	343	Vermin:617	Vermin	cavern	16,22,-1,2,-1,13	483	483	0	0	0	0
20260917-173344	river_only	1	16801	2032801	start	344	Vermin:616	Vermin	cavern	16,22,-1,2,-1,14	382	382	0	0	0	0
20260917-173344	river_only	1	16801	2032801	start	345	Vermin:410	Vermin	cavern	16,22,-1,2,-1,15	470	470	0	0	0	0
20260917-173344	river_only	1	16801	2032801	start	346	Vermin:621	Vermin	cavern	16,22,-1,2,-1,16	457	457	0	0	0	0
20260917-173344	river_only	1	16801	2032801	start	347	RAT_GIANT	Animal	cavern	16,22,-1,2,-1,17	15	15	0	0	0	0
20260917-173344	river_only	1	16801	2032801	start	348	BIRD_SWALLOW_CAVE_GIANT	Animal	cavern	16,22,-1,2,-1,18	22	22	0	0	0	0
20260917-173344	river_only	1	16801	2032801	start	349	GREMLIN	Animal	cavern	16,22,-1,2,-1,19	1	1	0	0	0	0
