run	arm	rep	tick	abs_tick	id	species	caste	x	y	z	ref6	layer	countdown	vanish	flag_src	flag_nf	dead	inactive	civ	tame	wild
20260917-123933	natural	1	32177	2048177	200	BUGBAT	MALE	57	44	20	4,28,-1,22,-1,17	cavern	10971	0	1	0	0	0	-1	0	1
20260917-123933	natural	1	32177	2048177	201	BUGBAT	FEMALE	40	29	19	4,28,-1,22,-1,17	cavern	10597	0	1	0	0	0	-1	0	1
20260917-123933	natural	1	32177	2048177	202	BUGBAT	MALE	40	29	19	4,28,-1,22,-1,17	cavern	8525	0	1	0	0	0	-1	0	1
20260917-123933	natural	1	32177	2048177	203	BUGBAT	MALE	13	3	21	4,28,-1,22,-1,17	cavern	11924	0	1	0	0	0	-1	0	1
20260917-123933	natural	1	32177	2048177	204	BUGBAT	FEMALE	14	3	20	4,28,-1,22,-1,17	cavern	12893	0	1	0	0	0	-1	0	1
20260917-123933	natural	1	32177	2048177	205	BUGBAT	FEMALE	14	6	20	4,28,-1,22,-1,17	cavern	13770	0	1	0	0	0	-1	0	1
20260917-123933	natural	1	32177	2048177	206	BUGBAT	FEMALE	51	94	21	4,28,-1,22,-1,17	cavern	13458	0	1	0	0	0	-1	0	1
20260917-123933	natural	1	32177	2048177	207	BUGBAT	MALE	25	82	22	4,28,-1,22,-1,17	cavern	10553	0	1	0	0	0	-1	0	1
20260917-123933	natural	1	32177	2048177	208	TROGLODYTE	FEMALE	185	151	35	3,28,-1,10,-1,2	cavern	13371	0	1	0	0	0	-1	0	1
20260917-123933	natural	1	32177	2048177	209	TROGLODYTE	FEMALE	185	148	36	3,28,-1,10,-1,2	cavern	9257	0	1	0	0	0	-1	0	1
20260917-123933	natural	1	32177	2048177	210	TROGLODYTE	FEMALE	168	135	36	3,28,-1,10,-1,2	cavern	13075	0	1	0	0	0	-1	0	1
20260917-123933	natural	1	32177	2048177	211	TROGLODYTE	FEMALE	166	137	36	3,28,-1,10,-1,2	cavern	14320	0	1	0	0	0	-1	0	1
20260917-123933	natural	1	32177	2048177	212	TROGLODYTE	FEMALE	172	126	36	3,28,-1,10,-1,2	cavern	12481	0	1	0	0	0	-1	0	1
20260917-123933	natural	1	32177	2048177	213	TROGLODYTE	MALE	167	130	36	3,28,-1,10,-1,2	cavern	13748	0	1	0	0	0	-1	0	1
20260917-123933	natural	1	32177	2048177	214	TROGLODYTE	MALE	169	126	36	3,28,-1,10,-1,2	cavern	11032	0	1	0	0	0	-1	0	1
20260917-123933	natural	1	32177	2048177	215	BIRD_ALBATROSS	MALE	106	170	108	3,27,-1,-1,-1,67	surface	15759	0	0	0	0	0	-1	0	1
20260917-123933	natural	1	32177	2048177	216	BIRD_ALBATROSS	FEMALE	160	119	109	3,27,-1,-1,-1,67	surface	9947	0	0	0	0	0	-1	0	1
20260917-123933	natural	1	32177	2048177	217	BIRD_ALBATROSS	MALE	171	61	109	3,27,-1,-1,-1,67	surface	8947	0	0	0	0	0	-1	0	1
20260917-123933	natural	1	32177	2048177	218	BIRD_ALBATROSS	FEMALE	171	61	109	3,27,-1,-1,-1,67	surface	10234	0	0	0	0	0	-1	0	1
20260917-123933	natural	1	32177	2048177	219	BIRD_ALBATROSS	FEMALE	171	61	109	3,27,-1,-1,-1,67	surface	7435	0	0	0	0	0	-1	0	1
20260917-123933	natural	1	32177	2048177	220	BIRD_ALBATROSS	MALE	99	42	108	3,27,-1,-1,-1,67	surface	17285	0	0	0	0	0	-1	0	1
20260917-123933	natural	1	32177	2048177	221	BIRD_ALBATROSS	MALE	97	45	104	3,27,-1,-1,-1,67	surface	11817	0	0	0	0	0	-1	0	1
20260917-123933	natural	1	32177	2048177	222	BIRD_ALBATROSS	MALE	93	49	103	3,27,-1,-1,-1,67	surface	14595	0	0	0	0	0	-1	0	1
20260917-123933	natural	1	32177	2048177	223	BIRD_ALBATROSS	FEMALE	91	51	103	3,27,-1,-1,-1,67	surface	12260	0	0	0	0	0	-1	0	1
